UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,(*)Production_Qty,(*)Availability,(*)Quality_Rate,(*)Defect_Rate,(*)Power_Consumption,(*)Performance,(*)OEE,(*)Risk_Level,(*)Maintenance_Priority,(*)Equipment_ID,(*)Line
25,M14884,M,299,309.4,1561,37.3,70,0,0,0,0,0,0,109.5,94.66,100,0,58.2253,86.7222222222222,82.0912555555556,Medium,Plan,MC-25,Line 102
26,L47205,L,299,309.5,1861,23.3,73,0,0,0,0,0,0,109.05,91.74,100,0,43.3613,100,91.74,Low,Normal,MC-26,Line 101
27,L47206,L,299.1,309.5,1512,39,75,0,0,0,0,0,0,108.75,94.8,100,0,58.968,84,79.632,Medium,Plan,MC-27,Line 101
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,108.45,91.84,100,0,44.5506,100,91.84,Low,Normal,MC-28,Line 201
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,107.7,93.88,98.86,1.14,63.6038,79.9444444444444,74.1962534177778,Medium,Plan,MC-29,Line 101
30,L47209,L,299,309.4,1693,30.1,84,0,0,0,0,0,0,107.4,92.66,100,0,50.9593,94.0555555555556,87.1518777777778,Low,Normal,MC-30,Line 101
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,107.1,92.92,97.64,2.36000000000001,64.5398,74.3888888888889,67.4908726844444,Warning,Normal,MC-31,Line 102
32,L47211,L,299,309.4,1798,25.5,89,0,0,0,0,0,0,106.65,91.54,100,0,45.849,99.8888888888889,91.4382888888889,Low,Normal,MC-32,Line 101
33,L47212,L,299,309.4,1419,48.3,91,0,0,0,0,0,0,106.35,92.7,97.63,2.36999999999999,68.5377,78.8333333333333,71.34653955,Medium,Plan,MC-33,Line 101
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,106.05,92.78,100,0,54.1125,92.5,85.8215,Low,Normal,MC-34,Line 101
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,105.75,93.14,100,0,54.0973,86.6111111111111,80.6695888888889,Medium,Plan,MC-35,Line 102
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,105.3,92.36,97.58,2.42,70.5672,80.6666666666667,72.7007429866667,Medium,Plan,MC-36,Line 102
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,104.85,93.3,100,0,58.0227,87.8333333333333,81.9485,Medium,Plan,MC-37,Line 102
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,104.4,93.68,100,0,56.4088,79.9444444444444,74.8919555555556,Medium,Plan,MC-38,Line 101
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,104.1,91.62,96.95,3.05000000000001,69.9153,76.6111111111111,68.05027145,Warning,Normal,MC-39,Line 201
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,103.35,91.06,96.43,3.57000000000001,70.875,75,65.8568685,Warning,Normal,MC-40,Line 101
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,103.05,92.4,98.56,1.44000000000001,61.8348,75.6666666666667,68.9092096,Warning,Normal,MC-41,Line 101
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,102.75,91.24,96.94,3.06,69.4944,76,67.22052256,Warning,Normal,MC-42,Line 101
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,102.45,91.5,97.45,2.55000000000001,67.1688,76,67.76673,Warning,Normal,MC-43,Line 102
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,102,91.5,97.61,2.39,66.542,76.2222222222222,68.0764676666667,Warning,Normal,MC-44,Line 201
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,101.25,91.5,97.93,2.07000000000001,69.92,81.7777777777778,73.2777546666667,Medium,Plan,MC-45,Line 102
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,100.8,91.06,97.45,2.55000000000001,73.1099,82.7222222222222,73.4060207388889,Medium,Plan,MC-46,Line 101
47,M14906,M,298.7,309,1843,25.8,130,0,0,0,0,0,0,100.5,89.96,100,0,47.5494,100,89.96,Low,Normal,MC-47,Line 102
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,100.05,91.42,98.29,1.71000000000001,65.6534,78.7777777777778,70.7871256244444,Medium,Plan,MC-48,Line 101
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,99.75,89.82,95.99,4.01000000000001,76.8075,79.1666666666667,68.25608925,Warning,Normal,MC-49,Line 201
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,99,91.58,98.93,1.07000000000001,62.2692,78.4444444444445,71.0707404044445,Medium,Plan,MC-50,Line 102
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,98.55,65.71,100,0,13.1606,100,65.71,Warning,Immediate,MC-51,Line 101
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,98.25,89.22,95.71,4.29000000000001,75.9267,76.8333333333333,65.60987497,Warning,Normal,MC-52,Line 101
53,H29466,H,298.8,309,1497,43.8,147,0,0,0,0,0,0,97.95,91.36,99.06,0.939999999999998,65.5686,83.1666666666667,75.26684464,Medium,Plan,MC-53,Line 201
54,L47233,L,298.7,309,1565,35.1,152,0,0,0,0,0,0,97.2,90.94,100,0,54.9315,86.9444444444444,79.0672777777778,Medium,Plan,MC-54,Line 101
55,L47234,L,298.7,309,1691,30.1,154,0,0,0,0,0,0,96.9,89.86,100,0,50.8991,93.9444444444444,84.4184777777778,Medium,Plan,MC-55,Line 101
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,96.6,91.62,99.97,0.0300000000000153,61.5384,84,76.93771176,Medium,Plan,MC-56,Line 101
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,96.3,91.2,99.46,0.540000000000006,62.6248,82.0555555555556,74.4305594666667,Medium,Plan,MC-57,Line 101
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,96,91.54,100,0,60.9739,84.0555555555555,76.9444555555555,Medium,Plan,MC-58,Line 101
59,M14918,M,298.8,309,1661,29.5,162,0,0,0,0,0,0,95.7,89.42,100,0,48.9995,92.2777777777778,82.5147888888889,Medium,Plan,MC-59,Line 102
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,95.25,88.52,95.86,4.14,74.9632,76.5555555555556,64.9614248977778,Warning,Normal,MC-60,Line 101
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,94.95,88.8,96.4,3.60000000000001,73.2718,77.3888888888889,66.2473653333333,Warning,Normal,MC-61,Line 101
62,M14921,M,298.8,309,1592,38.2,169,0,0,0,0,0,0,94.65,90.88,100,0,60.8144,88.4444444444444,80.3783111111111,Medium,Plan,MC-62,Line 102
63,L47242,L,298.8,309,1829,22.9,172,0,0,0,0,0,0,94.2,87.7,100,0,41.8841,100,87.7,Low,Normal,MC-63,Line 101
64,M14923,M,298.9,309,1812,25.9,174,0,0,0,0,0,0,93.9,88.22,100,0,46.9308,100,88.22,Low,Normal,MC-64,Line 102
65,L47244,L,299,309.1,1523,38.6,177,0,0,0,0,0,0,93.45,90.64,100,0,58.7878,84.6111111111111,76.6915111111111,Medium,Plan,MC-65,Line 101
66,L47245,L,299,309.1,1394,45.1,179,0,0,0,0,0,0,93.15,89.82,98.65,1.35000000000001,62.8694,77.4444444444444,68.6215319,Warning,Normal,MC-66,Line 101
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,92.85,88.5,100,0,48.1873,93.2777777777778,82.5508333333333,Medium,Plan,MC-67,Line 102
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,92.4,89.82,98.99,1.01000000000001,64.6506,81.4444444444444,72.41455066,Medium,Plan,MC-68,Line 201
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,91.65,88.92,100,0,49.4748,84.8333333333333,75.4338,Medium,Plan,MC-69,Line 101
70,L47249,L,298.9,309,1410,65.7,191,1,0,0,1,1,0,91.35,64.27,92.49,7.51000000000001,92.637,78.3333333333333,46.56393635,High,Immediate,MC-70,Line 101
71,M14930,M,298.9,309,1924,22.6,193,0,0,0,0,0,0,91.05,86.8,100,0,43.4824,100,86.8,Low,Normal,MC-71,Line 102
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,90.6,89.06,98.53,1.47000000000001,66.066,80.6666666666667,70.7856598533333,Medium,Plan,MC-72,Line 101
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,90.3,89.2,98.86,1.14,60.7836,76.0555555555556,67.0681618222222,Warning,Normal,MC-73,Line 101
74,L47253,L,299,309.1,1592,35,200,0,0,0,0,0,0,90,89,100,0,55.72,88.4444444444444,78.7155555555556,Medium,Plan,MC-74,Line 101
75,L47254,L,298.9,309,1601,32.3,202,0,0,0,0,0,0,89.7,88.38,100,0,51.7123,88.9444444444444,78.6091,Medium,Plan,MC-75,Line 101
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,89.4,88.5,98.21,1.79000000000001,64.3993,76.6111111111111,66.5871984166667,Warning,Normal,MC-76,Line 101
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,89.1,88.18,97.85,2.15000000000001,69.9819,81.1666666666667,70.0339521833333,Medium,Plan,MC-77,Line 101
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,88.8,63.76,99.83,0.170000000000002,60.0915,80.8333333333333,51.4517164666667,High,Immediate,MC-78,Line 101
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,120,95.7,96.77,3.23,71.997,77.6666666666667,71.9262379,Medium,Plan,MC-79,Line 101
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,119.7,97.5,100,0,53.1358,77.8888888888889,75.9416666666667,Medium,Plan,MC-80,Line 101
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,119.4,95.86,97.27,2.73,72.1055,80.2777777777778,74.8534259944444,Medium,Plan,MC-81,Line 201
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,118.65,96.14,97.97,2.03,68.875,80.5555555555556,75.8739550555556,Medium,Plan,MC-82,Line 101
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,118.35,97.4,99.98,0.019999999999996,59.2824,80.7222222222222,78.6077197555556,Medium,Plan,MC-83,Line 101
84,L47263,L,299,309,1469,40.1,13,0,0,0,0,0,0,118.05,97.46,100,0,58.9069,81.6111111111111,79.5381888888889,Medium,Plan,MC-84,Line 101
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,117.75,95.88,97.94,2.06,67.6872,79,74.18484888,Medium,Plan,MC-85,Line 101
86,M14945,M,299,309,1804,26.8,17,0,0,0,0,0,0,117.45,94.68,100,0,48.3472,100,94.68,Low,Normal,MC-86,Line 102
87,H29500,H,299,309,1436,43.9,20,0,0,0,0,0,0,117,96.42,99.03,0.969999999999999,63.0404,79.7777777777778,76.17559252,Medium,Plan,MC-87,Line 201
88,L47267,L,299,309,1544,31.8,25,0,0,0,0,0,0,116.25,95.36,100,0,49.0992,85.7777777777778,81.7976888888889,Medium,Plan,MC-88,Line 101
89,M14948,M,299,309,1419,45.2,27,0,0,0,0,0,0,115.95,95.88,98.64,1.36,64.1388,78.8333333333333,74.55743856,Medium,Plan,MC-89,Line 102
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,115.5,96.7,100,0,58.7365,82.6111111111111,79.8849444444444,Medium,Plan,MC-90,Line 102
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,115.05,93.84,100,0,45.2274,97.3888888888889,91.3897333333333,Low,Normal,MC-91,Line 101
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,114.75,93.58,100,0,45.567,100,93.58,Low,Normal,MC-92,Line 101
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,114.45,93.94,100,0,46.8017,95.9444444444444,90.1302111111111,Low,Normal,MC-93,Line 102
94,L47273,L,299.1,309,1450,43,40,0,0,0,0,0,0,114,95.8,99.3,0.700000000000003,62.35,80.5555555555556,76.6320166666667,Medium,Plan,MC-94,Line 101
95,L47274,L,299,308.9,1622,31.9,42,0,0,0,0,0,0,113.7,94.7,100,0,51.7418,90.1111111111111,85.3352222222222,Low,Normal,MC-95,Line 101
96,M14955,M,299,309,1351,52.2,44,0,0,0,0,0,0,113.4,93.8,96.54,3.45999999999999,70.5222,75.0555555555556,67.9661980666667,Warning,Normal,MC-96,Line 102
97,M14956,M,299,309,1575,35.3,47,0,0,0,0,0,0,112.95,95.18,100,0,55.5975,87.5,83.2825,Medium,Plan,MC-97,Line 102
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,112.5,93.98,100,0,52.325,97.2222222222222,91.3694444444444,Low,Normal,MC-98,Line 102
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,112.05,94.42,100,0,49.9983,84.9444444444444,80.2045444444445,Medium,Plan,MC-99,Line 101
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,111.75,94.92,98.92,1.08,67.6212,84.6111111111111,79.4454877066667,Medium,Plan,MC-100,Line 101
101,L47280,L,298.8,308.9,1852,25,57,0,0,0,0,0,0,111.45,92.72,100,0,46.3,100,92.72,Low,Normal,MC-101,Line 101
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,111.15,91.78,100,0,41.2137,100,91.78,Low,Normal,MC-102,Line 101
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,110.85,95.44,100,0,63.133,86.3888888888889,82.4495555555555,Medium,Plan,MC-103,Line 101
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,110.55,95.38,100,0,58.3605,80.0555555555556,76.3569888888889,Medium,Plan,MC-104,Line 102
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,110.1,94.68,99.24,0.759999999999991,62.93,80.5555555555556,75.690348,Medium,Plan,MC-105,Line 101
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,109.8,93.5,100,0,49.4801,88.3888888888889,82.6436111111111,Medium,Plan,MC-106,Line 101
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,109.5,93.5,97.71,2.28999999999999,70.0825,80.2777777777778,73.3408545833333,Medium,Plan,MC-107,Line 101
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,109.2,93.76,98.2,1.8,70.0596,83.1666666666667,76.5734794666667,Medium,Plan,MC-108,Line 102
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,108.75,93.54,100,0,53.0067,90.0555555555556,84.2379666666667,Medium,Plan,MC-109,Line 201
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,108,93.62,100,0,53.6052,87.3333333333333,81.7614666666667,Medium,Plan,MC-110,Line 101
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,107.7,91.22,100,0,42.12,100,91.22,Low,Normal,MC-111,Line 101
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,107.4,93.94,99.23,0.769999999999996,65.2065,83.2777777777778,77.6287646322222,Medium,Plan,MC-112,Line 201
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,106.65,94.34,100,0,59.171,83.2222222222222,78.5118444444444,Medium,Plan,MC-113,Line 102
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,106.2,93.94,99.71,0.289999999999992,62.2634,82.5555555555556,77.3277860911111,Medium,Plan,MC-114,Line 102
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,105.75,92.08,100,0,49.392,93.3333333333333,85.9413333333333,Low,Normal,MC-115,Line 101
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,105.45,92.98,98.57,1.43000000000001,65.3967,79.5,72.86205687,Medium,Plan,MC-116,Line 101
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,105.15,92.86,100,0,53.3324,86.8888888888889,80.6850222222222,Medium,Plan,MC-117,Line 101
118,L47297,L,298.8,308.6,1599,33,101,0,0,0,0,0,0,104.85,92.56,100,0,52.767,88.8333333333333,82.2241333333333,Medium,Plan,MC-118,Line 101
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,104.55,91.5,100,0,47.9667,94.8333333333333,86.7725,Low,Normal,MC-119,Line 102
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,104.1,93.62,100,0,59.7069,81.5,76.3003,Medium,Plan,MC-120,Line 101
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,103.8,92.74,98.85,1.14999999999999,64.0551,79.6111111111111,72.9822839833333,Medium,Plan,MC-121,Line 101
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,103.5,93.36,99.9,0.0999999999999943,64.1896,86.5555555555556,80.7274584,Medium,Plan,MC-122,Line 101
123,L47302,L,299,308.8,1310,50.7,112,0,0,0,0,0,0,103.2,91.38,97.03,2.97000000000001,66.417,72.7777777777778,64.5291546333333,Warning,Normal,MC-123,Line 101
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,102.9,92.76,99.24,0.759999999999991,67.0964,85.8888888888889,79.06503728,Medium,Plan,MC-124,Line 101
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,102.6,91.24,100,0,50.7738,95.9444444444444,87.5397111111111,Low,Normal,MC-125,Line 101
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,102.3,91.72,100,0,50.232,86.6666666666667,79.4906666666667,Medium,Plan,MC-126,Line 101
127,L47306,L,299,308.6,1329,60.5,120,0,0,0,0,0,0,102,89.1,94.13,5.87,80.4045,73.8333333333333,61.92389115,Warning,Normal,MC-127,Line 101
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,101.7,91.82,98.33,1.67,65.7045,78.5,70.87498571,Medium,Plan,MC-128,Line 101
129,L47308,L,299,308.6,1587,38.6,124,0,0,0,0,0,0,101.4,92.76,100,0,61.2582,88.1666666666667,81.7834,Medium,Plan,MC-129,Line 101
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,101.1,91.82,100,0,53.4737,86.6111111111111,79.5263222222222,Medium,Plan,MC-130,Line 101
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,100.8,92.66,99.99,0.00999999999999091,60.5403,81.8333333333333,75.81918399,Medium,Plan,MC-131,Line 101
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,100.5,90.34,100,0,48.1149,96.5,87.1781,Low,Normal,MC-132,Line 101
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,100.2,92.08,99.36,0.640000000000001,62.2512,80.0555555555556,73.24337856,Medium,Plan,MC-133,Line 102
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,99.75,90.68,97.44,2.55999999999999,70.928,79.4444444444444,70.1959925333333,Medium,Plan,MC-134,Line 102
135,L47314,L,298.8,308.4,1369,53,138,0,0,0,0,0,0,99.3,89.88,96.42,3.58,72.557,76.0555555555556,65.91149068,Warning,Normal,MC-135,Line 101
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,99,90.1,100,0,48.7635,95.0555555555556,85.6450555555556,Low,Normal,MC-136,Line 102
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,98.55,91.14,98.59,1.41000000000001,64.894,78.8888888888889,70.8855527333333,Medium,Plan,MC-137,Line 201
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,97.8,89.02,95.69,4.31,71.7241,72.0555555555556,61.3792553811111,Warning,Normal,MC-138,Line 101
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,97.5,90.12,97.46,2.53999999999999,71.5806,80.5,70.70391636,Medium,Plan,MC-139,Line 201
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,96.75,88.64,95.54,4.45999999999999,70.7544,70.4444444444444,59.6570443377778,High,Urgent,MC-140,Line 101
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,96.45,90.94,100,0,54.5471,83.9444444444444,76.3390777777778,Medium,Plan,MC-141,Line 101
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,96.15,90.68,100,0,54.3488,85.7777777777778,77.7832888888889,Medium,Plan,MC-142,Line 101
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,95.85,89.2,100,0,50.1396,98.7777777777778,88.1097777777778,Low,Normal,MC-143,Line 102
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,95.4,89.34,97.17,2.83,71.0535,78.1666666666667,67.85779497,Warning,Normal,MC-144,Line 201
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,94.65,90.76,99.6,0.399999999999991,58.9784,77.2777777777778,69.8567618666667,Warning,Normal,MC-145,Line 102
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,94.2,89.84,100,0,50.8368,84.0555555555555,75.5155111111111,Medium,Plan,MC-146,Line 101
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,93.9,90.26,100,0,58.1932,89.5555555555556,80.8328444444444,Medium,Plan,MC-147,Line 201
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,93.15,90.82,100,0,60.7515,84.1666666666667,76.4401666666667,Medium,Plan,MC-148,Line 101
149,M15008,M,298.3,308.3,1379,48,181,0,0,0,0,0,0,92.85,89.16,97.94,2.06,66.192,76.6111111111111,66.8993534533333,Warning,Normal,MC-149,Line 102
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,92.4,90.62,100,0,58.7727,81.8333333333333,74.1573666666667,Medium,Plan,MC-150,Line 101
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,92.1,90.02,99.53,0.469999999999999,60.7194,79,70.78155574,Medium,Plan,MC-151,Line 101
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,91.8,90,100,0,55.0088,81.2777777777778,73.15,Medium,Plan,MC-152,Line 102
153,M15012,M,298.4,308.2,1584,41,191,0,0,0,0,0,0,91.35,90.16,100,0,64.944,88,79.3408,Medium,Plan,MC-153,Line 102
154,L47333,L,298.4,308.2,1850,27,194,0,0,0,0,0,0,90.9,87.64,100,0,49.95,100,87.64,Low,Normal,MC-154,Line 101
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,90.6,89.4,100,0,55.3136,84.8888888888889,75.8906666666666,Medium,Plan,MC-155,Line 101
